Year,Names,Number,Rank
2020,Luca,130,22
2020,Carter,129,24
2020,Finn,126,25
2020,Hugo,126,25
2020,Max,126,25
2020,Levi,125,28
2020,Ethan,124,29
2020,Henry,123,30
2020,Arthur,119,31
2020,Alexander,112,32
2020,Harrison,110,33
2020,Eli,107,34
2020,Theo,101,35
2020,Jacob,100,36
2020,Joshua,100,36
2020,Luke,99,38
2020,Harry,97,39
2020,Beau,96,40
2020,Daniel,92,41
2020,Caleb,91,42
2020,Felix,89,43
2020,Jackson,89,43
2020,Asher,88,45
2020,Ezra,88,45
2020,Jasper,88,45
2020,Ryan,86,48
2020,Archer,84,49
2020,Samuel,84,49
2020,Isaac,82,51
2020,Louis,82,51
2020,Riley,80,53
2020,Lincoln,78,54
2020,Blake,77,55
2020,Jordan,76,56
2020,Harvey,73,57
2020,Luka,73,57
2020,Austin,72,59
2020,Braxton,72,59
2020,Connor,72,59
2020,Ryder,72,59
2020,Bodhi,71,63
2020,Logan,71,63
2020,Louie,71,63
2020,Edward,70,66
2020,Grayson,70,66
2020,Joseph,70,66
2020,Roman,69,69
2020,Jayden,68,70
2020,Oakley,66,71
2020,Xavier,64,72
2020,Flynn,63,73
2020,Nikau,63,73
2020,Toby,63,73
2020,Aiden,62,76
2020,Quinn,62,76
2020,River,61,78
2020,Angus,60,79
2020,Dylan,60,79
2020,Michael,60,79
2020,Nathan,60,79
2020,Sebastian,60,79
2020,David,59,84
2020,Ezekiel,59,84
2020,Adam,58,86
2020,Charles,58,86
2020,Jaxon,57,88
2020,Harley,55,89
2020,Zion,55,89
2020,Micah,53,91
2020,Kingston,52,92
2020,Patrick,52,92
2020,Manaia,51,94
2020,Spencer,50,95
2020,Zachary,50,95
2020,Ari,49,97
2020,Ashton,49,97
2020,John,49,97
2020,Matthew,48,100
2020,Miles,47,101
2020,Gabriel,46,102
2020,Isaiah,46,102
2020,Leon,46,102
2020,Muhammad,46,102
2020,Tyson,46,102
2020,Elias,45,107
2020,Tyler,45,107
2020,Otis,44,109
2020,Lewis,43,110
2020,Beauden,42,111
2020,Kobe,41,112
2020,Wyatt,41,112
2020,Billy,40,114
2020,Finley,40,114
2020,Tobias,40,114
2020,Fletcher,39,117
2020,Kiaan,39,117
2020,Peter,39,117
2020,Jeremiah,38,120
2020,Josiah,38,120
2020,Nico,38,120
2020,Ollie,38,120
2020,Fergus,37,124
2020,Frederick,37,124
2020,Mikaere,37,124
2020,Niko,37,124
2020,Elliot,36,128
2020,Maxwell,36,128
2020,Sione,36,128
2020,Aaron,35,131
2020,Israel,35,131
2020,Jesse,35,131
2020,Lennox,35,131
2020,Marcus,35,131
2020,Phoenix,35,131
2020,Nathaniel,34,137
2020,Alex,33,138
2020,Anthony,33,138
2020,Brodie,33,138
2020,Freddie,33,138
2020,Kayden,33,138
2020,Nixon,33,138
2020,Owen,33,138
2020,Tommy,33,138
2020,Walter,33,138
2020,Emmett,32,147
2020,Enzo,32,147
2020,Eric,32,147
2020,Frank,32,147
2020,Jake,32,147
2020,Keanu,32,147
2020,Aidan,31,153
2020,Brooklyn,31,153
2020,Koa,31,153
2020,Parker,31,153
2020,Atlas,30,157
2020,Ayaan,30,157
2020,Jett,30,157
2020,Reuben,30,157
2020,Albie,29,161
2020,Alfie,29,161
2020,Cohen,29,161
2020,Evan,29,161
2020,Ihaia,29,161
2020,Kian,29,161
2020,Kylo,29,161
2020,Manaaki,29,161
2020,Vincent,29,161
2020,Alfred,28,170
2020,Declan,28,170
2020,Hayden,28,170
2020,Jax,28,170
2020,Rory,28,170
2020,Cole,27,175
2020,Judah,27,175
2020,Malachi,27,175
2020,Odin,27,175
2020,Remy,27,175
2020,Ryker,27,175
2020,Te Ariki,27,175
2020,Abel,26,182
2020,Axel,26,182
2020,Julian,26,182
2020,Leonardo,26,182
2020,Lukas,26,182
2020,Malakai,26,182
2020,Marley,26,182
2020,Monty,26,182
2020,Aarav,25,190
2020,Albert,25,190
2020,Boston,25,190
2020,Carson,25,190
2020,Chase,25,190
2020,Francis,25,190
2020,Hendrix,25,190
2020,Jai,25,190
2020,Miller,25,190
2020,Ronan,25,190
2020,Taika,25,190
2020,Ted,25,190
2020,Timothy,25,190
2020,Benji,24,203
2020,Brody,24,203
2020,Jamie,24,203
2020,Jonathan,24,203
2020,Kyrie,24,203
2020,Lochlan,24,203
2020,Maddox,24,203
2020,Mateo,24,203
2020,Sonny,24,203
2020,Wiremu,24,203
2020,Ariki,23,213
2020,Cairo,23,213
2020,Jason,23,213
2020,Jaxson,23,213
2020,Kade,23,213
2020,Tangaroa,23,213
2020,Zane,23,213
2020,Ivaan,22,220
2020,Kairo,22,220
2020,Kauri,22,220
2020,Mac,22,220
2020,Marco,22,220
2020,Reign,22,220
2020,Robert,22,220
2020,Rocco,22,220
2020,Rowan,22,220
2020,Travis,22,220
2020,Aryan,21,230
2020,Ian,21,230
2020,Kyro,21,230
2020,Myles,21,230
2020,Reid,21,230
2020,Seth,21,230
2020,Vihaan,21,230
2020,Ali,20,237
2020,Andrew,20,237
2020,August,20,237
2020,Cameron,20,237
2020,Christopher,20,237
2020,Darcy,20,237
2020,Fox,20,237
2020,Huxley,20,237
2020,Jonty,20,237
2020,Jude,20,237
2020,Kai,20,237
2020,Lorenzo,20,237
2020,Rylan,20,237
2020,Tristan,20,237
2020,Ziggy,20,237
2020,Bjorn,19,252
2020,Dominic,19,252
2020,Franklin,19,252
2020,Hezekiah,19,252
2020,Ivar,19,252
2020,Loki,19,252
2020,Matiu,19,252
2020,Maverick,19,252
2020,Otto,19,252
2020,Sam,19,252
2020,Taylor,19,252
2020,Ace,18,263
2020,Bowie,18,263
2020,Casey,18,263
2020,Christian,18,263
2020,Cruz,18,263
2020,Eddie,18,263
2020,Mack,18,263
2020,Marshall,18,263
2020,Maximus,18,263
2020,Milo,18,263
2020,Mohammed,18,263
2020,Raymond,18,263
2020,Riaan,18,263
2020,Richard,18,263
2020,Rupert,18,263
2020,Tamati,18,263
2020,Abraham,17,279
2020,Conor,17,279
2020,Joel,17,279
2020,Kabir,17,279
2020,Kaiser,17,279
2020,Knox,17,279
2020,Kyle,17,279
2020,Matthias,17,279
2020,Nikora,17,279
2020,Romeo,17,279
2020,Victor,17,279
2020,Wolfe,17,279
2020,Zac,17,279
2020,Caden,16,292
2020,Dante,16,292
2020,Easton,16,292
2020,Emmanuel,16,292
2020,Gus,16,292
2020,Hugh,16,292
2020,Jay,16,292
2020,Karter,16,292
2020,Nicholas,16,292
2020,Reef,16,292
2020,Rocky,16,292
2020,Titus,16,292
2020,Xander,16,292
2020,Yuvraj,16,292
2020,Zayn,16,292
2020,Zayne,16,292
2020,Adrian,15,308
2020,Bryn,15,308
2020,Carlos,15,308
2020,Cody,15,308
2020,Elliott,15,308
2020,Finlay,15,308
2020,Harlem,15,308
2020,Heath,15,308
2020,Jed,15,308
2020,Jimmy,15,308
2020,Lachie,15,308
2020,Mark,15,308
2020,Mitchell,15,308
2020,Nate,15,308
2020,Orion,15,308
2020,Silas,15,308
2020,Zachariah,15,308
2020,Zorawar,15,308
2020,Amos,14,326
2020,Armaan,14,326
2020,Colton,14,326
2020,Dustin,14,326
2020,Harlan,14,326
2020,Ivan,14,326
2020,Kahurangi,14,326
2020,Kingsley,14,326
2020,Koda,14,326
2020,Leonard,14,326
2020,Neo,14,326
2020,Raiden,14,326
2020,Rex,14,326
2020,Rhys,14,326
2020,Sage,14,326
2020,Stephen,14,326
2020,Tai,14,326
2020,Zavier,14,326
2020,Ayden,13,344
2020,Bailey,13,344
2020,Callum,13,344
2020,Frankie,13,344
2020,Hemi,13,344
2020,Ishaan,13,344
2020,Jagger,13,344
2020,Jonas,13,344
2020,Julius,13,344
2020,Kaden,13,344
2020,Kahu,13,344
2020,Kiwa,13,344
2020,Marlon,13,344
2020,Nikolai,13,344
2020,Rio,13,344
2020,Rome,13,344
2020,Tevita,13,344
2020,Vivaan,13,344
2020,Wolf,13,344
2020,Zayden,13,344
2020,Zeke,13,344
2020,Azariah,12,365
2020,Ben,12,365
2020,Chester,12,365
2020,Dallas,12,365
2020,Dean,12,365
2020,Dexter,12,365
2020,Finnley,12,365
2020,Greyson,12,365
2020,Hamish,12,365
2020,Hayes,12,365
2020,Izaiah,12,365
2020,Jaden,12,365
2020,Jameson,12,365
2020,Johan,12,365
2020,Johnny,12,365
2020,Jonah,12,365
2020,Kaiden,12,365
2020,Kaitiaki,12,365
2020,Murphy,12,365
2020,Rafael,12,365
2020,Ralph,12,365
2020,Rieko,12,365
2020,Solomon,12,365
2020,Tane,12,365
2020,Tipene,12,365
2020,Alistair,11,390
2020,Andy,11,390
2020,Aston,11,390
2020,Bear,11,390
2020,Bradley,11,390
2020,Caius,11,390
2020,Cian,11,390
2020,Darius,11,390
2020,Dion,11,390
2020,Fateh,11,390
2020,Fred,11,390
2020,Hosea,11,390
2020,Jace,11,390
2020,Jeremy,11,390
2020,Jethro,11,390
2020,Jireh,11,390
2020,Jordie,11,390
2020,Junior,11,390
2020,Justin,11,390
2020,Kayson,11,390
2020,Koby,11,390
2020,Kyson,11,390
2020,Marcel,11,390
2020,Martin,11,390
2020,Matteo,11,390
2020,Meihana,11,390
2020,Nash,11,390
2020,Omar,11,390
2020,Raphael,11,390
2020,Rawiri,11,390
2020,Rayan,11,390
2020,Robin,11,390
2020,Sullivan,11,390
2020,Wesley,11,390
2020,Zach,11,390
2020,Zain,11,390
2020,Zander,11,390
2020,Adriel,10,427
2020,Agam,10,427
2020,Ardie,10,427
2020,Arie,10,427
2020,Avyaan,10,427
2020,Cayden,10,427
2020,Cillian,10,427
2020,Coby,10,427
2020,Cullen,10,427
2020,Emerson,10,427
2020,Ernest,10,427
2020,Hadley,10,427
2020,Ibrahim,10,427
2020,Iraia,10,427
2020,Jakob,10,427
2020,Jensen,10,427
2020,Jerome,10,427
2020,Kaea,10,427
2020,Legend,10,427
2020,Leonidas,10,427
2020,Lochie,10,427
2020,Lucca,10,427
2020,Magnus,10,427
2020,Mohammad,10,427
2020,Nehemiah,10,427
2020,Nolan,10,427
2020,Oskar,10,427
2020,Richie,10,427
2020,Ronin,10,427
2020,Roy,10,427
2020,Rudra,10,427
2020,Shivansh,10,427
2020,Stanley,10,427
2020,Taimana,10,427
2020,Tama,10,427
2020,Taniela,10,427
2020,Tate,10,427
2020,Tawhirimatea,10,427
2020,Tom,10,427
2020,Troy,10,427
2020,Vince,10,427
2020,Zack,10,427
2020,Zephyr,10,427
2019,Oliver,335,1
2019,Noah,297,2
2019,Leo,257,3
2019,Jack,251,4
2019,Lucas,247,5
2019,George,232,6
2019,James,210,7
2019,William,210,7
2019,Thomas,202,9
2019,Charlie,192,10
2019,Arlo,180,11
2019,Hunter,178,12
2019,Liam,175,13
2019,Mason,175,13
2019,Theodore,169,15
2019,Oscar,164,16
2019,Ethan,162,17
2019,Elijah,157,18
2019,Lachlan,154,19
2019,Henry,149,20
2019,Max,145,21
2019,Hudson,144,22
2019,Cooper,143,23
2019,Alexander,140,24
2019,Luca,136,25
2019,Jackson,134,26
2019,Jacob,131,27
2019,Carter,129,28
2019,Benjamin,127,29
2019,Levi,125,30
2019,Archie,123,31
2019,Finn,121,32
2019,Harrison,121,32
2019,Joshua,119,34
2019,Arthur,118,35
2019,Isaac,117,36
2019,Samuel,116,37
2019,Harry,115,38
2019,Beau,110,39
2019,Hugo,110,39
2019,Lincoln,104,41
2019,Ryan,104,41
2019,Caleb,101,43
2019,Theo,101,43
2019,Eli,100,45
2019,Asher,99,46
2019,Felix,99,46
2019,Daniel,96,48
2019,Luke,96,48
2019,Logan,95,50
2019,Archer,93,51
2019,Ezra,92,52
2019,Joseph,90,53
2019,Riley,90,53
2019,Blake,87,55
2019,Harvey,86,56
2019,Grayson,85,57
2019,Jaxon,85,57
2019,Xavier,81,59
2019,Jayden,78,60
2019,John,78,60
2019,Louie,78,60
2019,Jasper,77,63
2019,Austin,75,64
2019,Braxton,74,65
2019,Connor,73,66
2019,Matthew,73,66
2019,Ryder,73,66
2019,Toby,73,66
2019,Nathan,72,70
2019,Roman,72,70
2019,Sebastian,72,70
2019,Angus,70,73
2019,Jordan,70,73
2019,Louis,69,75
2019,Edward,65,76
2019,Tyler,64,77
2019,Adam,63,78
2019,Ashton,63,78
2019,Luka,62,80
2019,Wyatt,61,81
2019,Zion,61,81
2019,Charles,60,83
2019,Bodhi,59,84
2019,Dylan,59,84
2019,Ezekiel,59,84
2019,Isaiah,59,84
2019,Aiden,57,88
2019,Michael,56,89
2019,Zachary,53,90
2019,Flynn,51,91
2019,Harley,51,91
2019,Micah,51,91
2019,Phoenix,50,94
2019,Reuben,50,94
2019,Elliot,49,96
2019,Gabriel,49,96
2019,David,48,98
2019,Frederick,48,98
2019,Leon,48,98
2019,Nikau,48,98
2019,Alex,47,102
2019,Fergus,47,102
2019,Nico,47,102
2019,Quinn,47,102
2019,Aaron,46,106
2019,Beauden,46,106
2019,Mikaere,46,106
2019,Parker,46,106
2019,Tobias,46,106
2019,Ari,45,111
2019,Lewis,45,111
2019,Otis,45,111
2019,Kingston,44,114
2019,Maxwell,44,114
2019,Patrick,44,114
2019,River,44,114
2019,Spencer,44,114
2019,Alfie,43,119
2019,Brodie,43,119
2019,Jesse,43,119
2019,Sione,43,119
2019,Kayden,42,123
2019,Jake,41,124
2019,Muhammad,41,124
2019,Jett,40,126
2019,Marcus,40,126
2019,Ollie,40,126
2019,Andrew,39,129
2019,Boston,39,129
2019,Elias,38,131
2019,Nixon,38,131
2019,Vincent,38,131
2019,Israel,37,134
2019,Kobe,37,134
2019,Miles,37,134
2019,Oakley,37,134
2019,Billy,36,138
2019,Frank,36,138
2019,Malachi,36,138
2019,Owen,36,138
2019,Fletcher,35,142
2019,Freddie,35,142
2019,Jeremiah,35,142
2019,Kiaan,35,142
2019,Nathaniel,35,142
2019,Robert,35,142
2019,Ayaan,34,148
2019,Cohen,34,148
2019,Jax,34,148
2019,Manaia,34,148
